,price,host_is_superhost,host_total_listings_count,host_has_profile_pic,zipcode,property_type,room_type,bathrooms,beds,bed_type,security_deposit,cleaning_fee,minimum_nights,instant_bookable,cancellation_policy,senti_score,walk_score
1415,1082.0,0,16.0,1,94104,1,1,1.5,2.0,1,0.0,0.0,1,0,5,0.8431,99
1416,640.0,0,1.0,1,94117,1,1,2.0,3.0,1,1500.0,175.0,2,0,1,0.7241067929593654,97
1417,109.0,0,3.0,1,94124,2,1,1.0,2.0,1,250.0,79.0,30,0,2,0.8783733333333335,84
1418,96.0,1,1.0,1,94112,2,2,1.0,1.0,1,0.0,15.0,2,1,2,0.7241067929593654,87
1419,199.0,0,2.0,1,94110,2,1,1.5,1.0,1,500.0,100.0,5,0,2,0.7381800000000001,99
1420,235.0,0,2.0,1,94114,1,1,1.0,3.0,1,1000.0,250.0,30,0,1,0.8088,97
1421,80.0,0,1.0,1,94110,2,2,1.0,1.0,1,0.0,30.0,1,1,2,0.7335487951807225,99
1422,280.0,1,2.0,1,94133,1,1,1.5,2.0,1,500.0,125.0,30,0,1,0.7891391304347827,98
1423,140.0,1,1.0,1,94118,1,1,1.0,1.0,1,0.0,45.0,3,0,1,0.8065061946902651,99
1424,350.0,0,1.0,1,94133,1,1,1.0,4.0,1,0.0,80.0,5,0,1,0.9226857142857144,98
1425,199.0,0,1.0,1,94116,1,1,2.0,4.0,1,0.0,160.0,30,0,1,0.6554970802919704,84
1426,233.0,0,1.0,1,94110,2,1,2.0,4.0,1,300.0,160.0,5,0,1,0.8101714285714285,99
1427,375.0,1,1.0,1,94110,2,1,1.0,3.0,1,1000.0,140.0,3,0,2,0.886830434782609,99
1428,230.0,1,1.0,1,94110,2,1,1.5,1.0,1,4000.0,80.0,3,0,1,0.7241067929593654,99
1429,600.0,0,2.0,1,94122,2,1,2.0,6.0,1,500.0,100.0,3,0,3,0.8909999999999999,93
1430,200.0,1,1.0,1,94116,1,1,1.0,1.0,1,200.0,75.0,2,1,1,0.6974269662921347,84
1431,156.0,1,1.0,1,94133,2,2,1.0,1.0,1,0.0,50.0,2,0,2,0.7591723270440246,98
1432,95.0,1,1.0,1,94116,1,1,1.0,2.0,1,0.0,85.0,2,1,2,0.7551274999999994,84
1433,200.0,0,1.0,1,94110,2,1,2.0,2.0,3,500.0,100.0,30,0,3,0.7241067929593654,99
1434,90.0,0,5.0,1,94112,2,2,1.0,1.0,1,100.0,50.0,3,0,1,0.8595666666666665,87
1435,258.0,1,1.0,1,94114,1,1,1.0,1.0,1,650.0,85.0,1,0,2,0.7973839285714284,97
1436,174.0,1,2.0,1,94114,1,1,1.0,1.0,1,0.0,90.0,1,1,3,0.7851204887218034,97
1437,79.0,1,7.0,1,94114,2,2,1.0,1.0,1,500.0,25.0,1,0,2,0.775959090909091,97
1438,209.0,0,14.0,1,94123,3,2,1.0,3.0,1,200.0,0.0,1,1,2,0.5657971098265893,97
1439,299.0,1,4.0,1,94110,1,1,1.0,2.0,1,0.0,90.0,3,1,1,0.8151215311004786,99
1440,245.0,0,1.0,1,94110,2,1,1.0,4.0,1,500.0,150.0,3,0,2,0.72893,99
1441,135.0,1,1.0,1,94122,1,1,1.0,1.0,1,0.0,75.0,2,1,2,0.7626241379310341,93
1442,125.0,0,1.0,1,94110,1,1,1.0,1.0,1,0.0,50.0,30,1,3,0.8697538461538462,99
1443,199.0,1,1.0,1,94110,1,2,1.0,1.0,1,0.0,50.0,4,0,2,0.8340625000000002,99
1444,49.0,1,2.0,1,94116,2,2,0.0,2.0,1,100.0,20.0,1,0,2,0.7492553314121037,84
1445,499.0,1,5.0,1,94133,1,1,3.0,3.0,1,500.0,185.0,1,0,1,0.7037645161290319,98
1446,150.0,1,2.0,1,94134,1,1,1.0,2.0,1,350.0,85.0,2,1,2,0.6861278195488721,34
1447,531.0,0,1.0,1,94109,1,1,1.0,2.0,1,2000.0,200.0,1,0,1,0.7241067929593654,100
1448,249.0,0,1.0,1,94114,1,1,1.0,2.0,1,200.0,70.0,30,1,1,0.7897305882352941,97
1449,146.0,1,4.0,1,94107,2,2,1.0,1.0,1,0.0,60.0,1,0,2,0.8041248201438849,85
1450,300.0,0,1.0,1,94105,1,1,2.0,1.0,1,1500.0,180.0,30,0,1,0.5389166666666666,99
1451,129.0,0,14.0,1,94123,3,2,1.0,2.0,1,200.0,0.0,1,1,2,0.5712616216216209,97
1452,229.0,0,755.0,1,94158,1,1,1.0,2.0,1,0.0,125.0,30,0,1,0.9022,28
1453,688.0,0,1.0,1,94133,3,2,1.0,3.0,1,0.0,200.0,2,0,1,0.9753,98
1454,250.0,0,1.0,1,94110,2,1,1.0,2.0,1,0.0,75.0,2,0,3,0.8742866666666668,99
1455,110.0,0,21.0,1,94102,1,1,1.0,1.0,1,0.0,100.0,30,0,1,0.6891181818181817,97
1456,350.0,1,1.0,1,94131,1,1,1.0,2.0,1,500.0,150.0,1,0,1,0.8216534090909089,71
1457,98.0,1,2.0,1,94122,1,1,1.0,1.0,1,500.0,100.0,30,0,1,0.7863583333333329,93
1458,255.0,0,1.0,1,94102,1,1,1.0,2.0,1,300.0,100.0,30,1,2,0.8062178571428572,97
1459,173.0,1,1.0,1,94105,1,1,2.0,2.0,1,5000.0,160.0,30,1,2,0.83285,99
1460,85.0,0,1.0,1,94117,1,1,1.0,1.0,1,200.0,120.0,30,0,1,0.8113223684210527,97
1461,125.0,1,1.0,1,94103,1,2,1.0,1.0,1,0.0,125.0,1,0,2,0.7667337278106505,97
1462,160.0,1,1.0,1,94107,2,1,1.0,0.0,1,0.0,71.0,3,1,2,0.7419666666666667,85
1463,250.0,0,1.0,1,94114,2,1,2.0,2.0,1,500.0,150.0,3,0,1,0.7241067929593654,97
1464,151.0,1,1.0,1,94109,1,1,1.0,1.0,1,0.0,150.0,30,1,1,0.92464375,100
1465,299.0,0,1.0,1,94110,1,1,1.5,3.0,1,500.0,115.0,5,0,1,0.7852124999999999,99
1466,225.0,1,2.0,1,94115,1,1,1.0,2.0,1,250.0,110.0,4,0,2,0.8434105691056909,98
1467,3000.0,1,4.0,1,94115,1,1,1.0,3.0,1,1500.0,120.0,30,0,1,0.7547923076923078,98
1468,180.0,1,4.0,1,94115,1,2,1.0,1.0,1,400.0,60.0,30,1,1,0.7361081081081081,98
1469,196.0,1,1.0,1,94131,1,1,1.0,2.0,1,0.0,65.0,1,0,2,0.7580305322128853,71
1470,450.0,1,2.0,1,94114,2,1,2.5,3.0,1,500.0,120.0,3,0,1,0.7811884210526316,97
1471,240.0,1,1.0,1,94103,1,2,1.0,1.0,1,100.0,50.0,1,0,2,0.7499534482758621,97
1472,200.0,0,1.0,1,94109,2,2,1.0,1.0,1,1800.0,0.0,140,0,3,0.8895500000000001,100
1473,99.0,1,2.0,1,94114,2,2,1.0,1.0,1,0.0,70.0,30,0,2,0.8617500000000001,97
1474,250.0,1,1.0,1,94133,1,1,1.0,1.0,1,500.0,115.0,1,0,2,0.7825176470588237,98
1475,125.0,0,1.0,1,94114,2,1,1.0,3.0,1,400.0,200.0,30,0,2,0.8267034482758623,97
1476,200.0,0,3.0,1,94109,1,1,1.5,4.0,1,1000.0,100.0,30,0,3,0.7617673076923074,100
1477,342.0,0,1.0,1,94102,1,1,1.0,2.0,1,500.0,150.0,5,0,2,0.80305,97
1478,89.0,1,1.0,1,94110,1,2,1.0,4.0,1,300.0,59.0,30,1,1,0.7436577981651373,99
1479,129.0,1,2.0,1,94122,2,2,1.0,2.0,1,0.0,10.0,1,0,1,0.8265764150943394,93
1480,116.0,1,36.0,1,94108,1,1,1.0,1.0,1,1500.0,120.0,30,0,1,0.8760199999999999,100
1481,80.0,1,1.0,1,94117,2,2,1.0,1.0,1,0.0,0.0,7,0,3,0.7691532258064514,97
1482,780.0,0,1.0,1,94131,2,1,3.0,4.0,1,0.0,110.0,4,0,1,0.8984857142857142,71
1483,89.0,1,1.0,1,94110,1,2,1.0,2.0,1,300.0,59.0,30,1,3,0.7422170940170939,99
1484,700.0,0,1.0,1,94121,2,1,2.0,4.0,1,1000.0,125.0,2,0,1,0.7241067929593654,92
1485,300.0,0,1.0,1,94103,2,1,2.5,4.0,1,500.0,650.0,30,0,1,0.7901052631578946,97
1486,185.0,0,1.0,1,94117,1,1,1.0,2.0,1,500.0,100.0,5,0,1,0.8183876712328766,97
1487,370.0,1,1.0,1,94117,1,1,2.0,4.0,1,2000.0,150.0,5,1,1,0.8132289855072463,97
1488,139.0,1,1.0,1,94127,1,1,1.0,2.0,1,200.0,70.0,2,0,2,0.7762219354838705,28
